# 洪武正韻字表
# version: 20190429
# author: hhliow (github.com/hhliow)
# license: cc by-sa 4.0
# The phonetic transcription follows the system of 洪武正韻譯訓 and uses the phonetics of modern forms of Classical Mandarin, primarily the Classical Mandarin vocalization found in Kun Opera.
# However, there are a few distinctions in 洪武正韻譯訓 that are rarely made in modern Classical Mandarin:
#   Syllable codae -p -t -k may be merged to glottal stop -[ʔ];
#   Breathy fricatives ʂʐ ʃʒ sz fv ɦ may each be merged into [ʂ] [ʃ] [s] [f] [h]~[x] respectively;
#   finals -iaw and -iɛw may be merged;
#   finals -i and -iɪi may be merged.
# Also, velar and glottal consonants /k/ /kh/ /g/ /ŋ/ /ʔ/ /h/ /ɦ/ may be palatalized up to [tɕ] [tɕʰ] [dʑ] [j] [j] [ɕ] [ɕ(ʱ)] respectively while preceding /i/ or /y/.
# Credits:
#   Digitalization of 洪武正韻 gloss is done by Kanseki Repository and reorganized by hhliow.
#   Digitalization of 洪武正韻譯訓 syllabary is done by hhliow.
#   IPA transcription and data organization is done by hhliow (github.com/hhliow).
position	heading	char	ytenx_syllabary_entry	jik_hyunh	transcription	transcription_chinese	gloss_literal
vol01_p02a_entry08		𦨴	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(舟名監本作卉名誤)¶
vol01_p02a_entry09		筒	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(竹名又送韻)
vol01_p02a_entry10		筩	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(斷竹又董韻)
vol01_p02a_entry11		穜	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(禾先種後熟本作種陸徳明曰說文禾邊作重是重穋禾邊作)¶(童是穜蓺字今人亂之已久豳風作重穆又本韻董送韻)
vol01_p02a_entry12		種	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(同上又見下及董送二韻)
vol01_p02a_entry13		重	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(同上又見下及董送)¶(二韻)
vol01_p02a_entry14		潼	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(水名出廣漢梓潼北界南入墊江又闗名又音衝)
vol01_p02a_entry15		衕	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(通街又送韻)
vol01_p02a_entry16		鮦	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(魚名一曰鱧也大曰)¶(鰹小曰鮵又董有二韻)
vol01_p02a_entry17		犝	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(牛無角亦作童易童牛之牿)
vol01_p02a_entry18		𦏆	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(羊無角亦作童詩俾出童羖)
vol01_p02a_entry19		酮	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(馬酪)¶↡¶(一曰酢也又董韻)
vol01_p02b_entry01		挏	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(引也漢有挏馬官作酒又董韻)
vol01_p02b_entry02		氃	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(氋氃毛散貌)
vol01_p02b_entry03		詷	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(共也又董送二韻)¶
vol01_p02b_entry04		戙	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(繫船𣏾又送韻)
vol01_p02b_entry05		艟	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(艨艟戰船又見下及漾韻)
vol01_p02b_entry06		彤	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(赤也丹飾也又姓)
vol01_p02b_entry07		㤏	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(恎㤏惶遽)
vol01_p02b_entry08		𢥞	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	¶(憂也)
vol01_p02b_entry09		鼕	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(鼔聲)
vol01_p02b_entry10		浵	3	뚜ᇰ	tɦȕŋ	꜁ㄊㄨㆭ	(汪浵水深)
vol01_p02b_entry11	○	龍	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(盧容切鱗蟲之長爾雅馬高八尺為龍又通也和也詩何)¶(天之龍我龍受之毛如字鄭讀作寵左傳董父擾龍事舜賜氏曰豢龍劉累學擾龍事孔甲賜氏曰御龍句龍為后土氏曰句)¶(龍御音迓句音鉤又陽董二韻)
vol01_p02b_entry12		𪚝	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(圭為龍文)
vol01_p02b_entry13		籠	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(舉土器一曰養鳥籠又籦籠竹名又東籠與涷瀧同沾濕貌又)¶(董韻)
vol01_p02b_entry14		櫳	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(養獸檻也牢也)
vol01_p02b_entry15		㰍	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(房屋之疏通作櫳)
vol01_p02b_entry16		䆍	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(穧也一曰禾病也)
vol01_p02b_entry17		聾	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(耳病)
vol01_p02b_entry18		嚨	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	¶(喉也肮也)
vol01_p02b_entry19		曨	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(日出貌又曈曨曰欲明貌又董韻)
vol01_p02b_entry20		朧	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(月出又朣朧月欲明貌)
vol01_p02b_entry21		襱	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(袴也)
vol01_p02b_entry22		豅	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	¶(大谷)
vol01_p02b_entry23		瓏	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(玲瓏玉聲一曰明貌)
vol01_p02b_entry24		礱	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(磨也又送韻)
vol01_p02b_entry25		龐	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(充實也詩四牡龐龐又陽韻)
vol01_p02b_entry26		蘢	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(蘢古)¶↡¶(草名又蒙蘢蔽覆貌漢鼂錯傳屮木蒙蘢又盧紅切)
vol01_p03a_entry01		谾	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(山深貌相如賦深山谾谾)
vol01_p03a_entry02		瀧	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(瀧涷沾漬說文雨瀧瀧又)¶(陽韻)
vol01_p03a_entry03		𩟭	4	류ᇰ	l(y)ȕŋ	꜁ㄌㄩㄨㆭ	(𩟭餅)
vol01_p03a_entry04	○	隆	5	류ᇰ	lyȕŋ	꜁ㄌㄩㄨㆭ	(良中切盛也豐也大也穹隆豐隆玉篇云高也說文作隆)
vol01_p03a_entry05		癃	5	류ᇰ	lyȕŋ	꜁ㄌㄩㄨㆭ	(病也老也罷病)¶(也亦作𤸇)
vol01_p03a_entry06		𪔳	5	류ᇰ	lyȕŋ	꜁ㄌㄩㄨㆭ	(鼓聲又盧宗切)
vol01_p03a_entry07		窿	5	류ᇰ	lyȕŋ	꜁ㄌㄩㄨㆭ	(穹窿天勢本作隆)
vol01_p03a_entry08		霳	5	류ᇰ	lyȕŋ	꜁ㄌㄩㄨㆭ	(靊霳雨師本作豐隆楚辭淮南)¶(子相如賦皆作豐隆)
vol01_p03a_entry09		䃧	5	류ᇰ	lyȕŋ	꜁ㄌㄩㄨㆭ	(䃔䃧石聲又音盧宗切)
vol01_p03a_entry10	○	蓬	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(蒲紅切草名山名又盛貌詩其葉蓬蓬凡)¶(从艸者今作)
vol01_p03a_entry11		芃	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(草盛貌)
vol01_p03a_entry12		篷	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(編竹覆舟車)
vol01_p03a_entry13		韸	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(韸韸鼓聲見埤蒼亦作逢)
vol01_p03a_entry14		逢	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(詩鼉鼔逢)¶(逢又見下及陽韻)
vol01_p03a_entry15		髼	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(髼鬆亂髪)
vol01_p03a_entry16		菶	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(菶菶茂貌又董韻)
vol01_p03a_entry17		塳	6	뿌ᇰ	pɦȕŋ	꜁ㄆㄨㆭ	(塵也塵隨風起)
vol01_p03a_entry18	○	蒙	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(莫紅)¶(切覆也奄也冒也又姓草名卦名山名又承也又爾雅太歳在乙曰旃蒙又欺也左傳昭元年又使圍蒙其先君又逢蒙人名)¶(荀子作蠭門又陽韻)
vol01_p03a_entry19		冡	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(覆也冒也通作蒙)
vol01_p03a_entry20		幪	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(覆也盖衣也亦作𢄐又董韻)
vol01_p03a_entry21		𢄐	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(同上又送韻)¶↡¶
vol01_p03b_entry01		髳	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(草木叢茸貌爾雅覭髳茀離也郭璞謂草木之蒙茸翳薈也又尤韻)
vol01_p03b_entry02		濛	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(空濛細雨又董韻)
vol01_p03b_entry03		雺	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	¶(爾雅天氣下地不應曰雺亦作霿又尤送宥三韻)
vol01_p03b_entry04		霿	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(同上又送宥二韻)
vol01_p03b_entry05		曚	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(日未明又董韻)
vol01_p03b_entry06		朦	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(月將)¶(入也)
vol01_p03b_entry07		䑃	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(大也揚雄方言自關而西凡大貌謂之朦)
vol01_p03b_entry08		艨	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(舟名又送韻)
vol01_p03b_entry09		矇	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(目有童子而無見禮記昭)¶(然若發矇矣)
vol01_p03b_entry10		饛	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(盛器滿貌詩有饛簋飱)
vol01_p03b_entry11		罞	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(爾雅麋罟謂之罞郭璞曰冒其頭也又爻韻)
vol01_p03b_entry12		懵	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(懵懵)¶(無知貌又董送敬三韻)
vol01_p03b_entry13		夢	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(爾雅夢夢亂也詩視天夢夢夀夢吳子名雲夢澤名周禮作雲瞢又庚送二韻髙帝偽遊)¶(雲夢韋昭曰在南郡華容師古曰讀如本字又莫紅切)
vol01_p03b_entry14		瞢	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(雲瞢澤名職方氏音忙貢切案左傳漢書夢字有二音則)¶(瞢字亦宜通用又目不明也又庚送敬三韻)
vol01_p03b_entry15		懜	7	무ᇰ	mȕŋ	꜁ㄇㄨㆭ	(慙也國語君使臣懜又惛也又送敬二韻上从𦫳音寡作誤)¶
vol01_p03b_entry16	○	悤	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(倉紅切遽也从囱从心俗作忩怱)
vol01_p03b_entry17		囱	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(竈突見廣韻俗借為悤遽字作匆凡従囱者皆然又陽韻)¶↡¶
vol01_p04a_entry01		忩	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(王愔文志忩忩不暇草書晉衛恒傳張伯英忩忩不暇書)
vol01_p04a_entry02		蔥	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(淺青色又葷菜漢書氣佳哉鬱鬱蔥蔥然)¶
vol01_p04a_entry03		䡯	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(載囚車又董韻)
vol01_p04a_entry04		聰	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(能聽耳力也耳徹也漢書作聰俗作聦)
vol01_p04a_entry05		𢊕	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(屋階中㑹又董韻)
vol01_p04a_entry06		璁	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(石似)¶(玉)
vol01_p04a_entry07		驄	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(馬靑白色)
vol01_p04a_entry08		樅	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(崇牙也詩虡業維樅注隆起貌又木名爾雅樅松葉柏身尸子松柏之鼠不知堂密之有)¶(美樅說文柏葉松身又見下)
vol01_p04a_entry09		鏦	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(矛屬史記欲鏦加以矛方言㦸謂之鏦又陽韻)
vol01_p04a_entry10		從	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(從容舒緩貌書從容以和)¶(又陽董送三韻)
vol01_p04a_entry11		蓯	8	ᅔᅮᇰ	tshuŋ	ㄘㄨㆭ	(本草蓯蓉藥名又蘢蓯花名又董韻)
vol01_p04a_entry12	○	宗	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(祖冬切尊也衆也本也又姓漢書注顔師古曰)¶(祖始也始受命也宗尊也有徳可宗也又流派所出為宗古有大宗小宗又法也論語亦可宗也又繼也主也)
vol01_p04a_entry13		㚇	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(同上)¶(切鳥飛斂足亦作翪又送韻)
vol01_p04a_entry14		翪	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(同上又鳥飛竦翼又董送二韻)
vol01_p04a_entry15		騣	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(馬鬛)
vol01_p04a_entry16		鬉	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(髪亂)
vol01_p04a_entry17		豵	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	¶(六月豚爾雅豕生三曰豵又周禮夏官注一嵗為豵)
vol01_p04a_entry18		猣	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(犬生三子)
vol01_p04a_entry19		椶	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(木名)
vol01_p04a_entry20		稯	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(布八十縷又十筥曰稯又)¶↡¶(董韻)
vol01_p04b_entry01		緵	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(江南呼緵罟為百囊網詩九罭傳緵罟小魚網也又送韻)
vol01_p04b_entry02		總	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(絲數亦作摠又與緵同又見董送二韻)¶
vol01_p04b_entry03		摠	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(同上又董送二韻)
vol01_p04b_entry04		嵏	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(九嵏山名又峯聚之山曰嵏校獵賦虎路三嵏晉灼曰路音落服䖍曰以竹虎落此)¶(山也師古曰三嵏三峯聚之山也)
vol01_p04b_entry05		嵸	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(巃嵸山貌又董韻)
vol01_p04b_entry06		𨍈	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(車輪)
vol01_p04b_entry07		鬷	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(釜屬又數也詩越以鬷邁)¶(又姓左傳鄭大夫鬷明又董韻从鬲俗作鬷)
vol01_p04b_entry08		艐	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(船著沙不行又三艐國名又泰韻)
vol01_p04b_entry09		朡	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(同上書遂伐三朡又)¶(泰韻)
vol01_p04b_entry10		葼	9	ᅎᅮᇰ	tsuŋ	ㄗㄨㆭ	(細枝也)
vol01_p04b_entry11	○	縱	10	ᅎᅲᇰ	tsyuŋ	ㄗㄩㄨㆭ	(將容切直也亦作從又董送二韻)
vol01_p04b_entry12		蹤	10	ᅎᅲᇰ	tsyuŋ	ㄗㄩㄨㆭ	(跡也揚雄賦躡三皇之髙蹤亦作從)¶(詩羔羊注行可從迹音與蹤同)
vol01_p04b_entry13		樅	10	ᅎᅲᇰ	tsyuŋ	ㄗㄩㄨㆭ	(木名見上)
vol01_p04b_entry14	○	叢	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(徂紅切聚也从丵从取丵音浞草叢生貌上从四直畫兩)¶(長兩短誤从丱)
vol01_p04b_entry15		樷	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(東方朔傳樷珍怪師古曰古叢字)
vol01_p04b_entry16		䕺	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(草䕺生貌亦作藂誤从丱)
vol01_p04b_entry17		藂	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(同上詩葛覃注)¶(灌木曰藂音叢後人誤作菆音子外切或本作蕞顔之推曰二音二字皆非也)
vol01_p04b_entry18		𥵫	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(取魚器)
vol01_p04b_entry19		潨	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(水㑹又小水入)¶↡¶(大水又之中切小水入大水又詩鳧鷖在潨鄭箋水外之髙者)
vol01_p05a_entry01		賨	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(戎稅說文南蠻賦也又云𢄐南郡蠻人賨布也魏晉)¶(時邊郡夷人輸布户一匹謂之賨)
vol01_p05a_entry02		悰	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(樂也慮也)
vol01_p05a_entry03		琮	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(瑞玉八寸形似車釭周禮以黄琮禮地鄭氏注琮八方象)¶(地之形)
vol01_p05a_entry04		慒	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(慮也又尤韻)
vol01_p05a_entry05		淙	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(水聲又陽漾韻)
vol01_p05a_entry06		訟	11	ᅏᅮᇰ	tsɦȕŋ	꜁ㄘㄨㆭ	(爭獄見廣韻一曰爭罪曰獄爭財曰訟又送韻案詩)¶(何以速我訟有兩音易訟卦音去聲易注云反爭也言之於公也然則訟字从言从公盖㑹意也且諧公字聲則本是平聲是)¶(以詩協從字韻易獨音去聲未為允當合依詩音於二韻通用)
vol01_p05a_entry07	○	從	12	ᅏᅲᇰ	tsɦyȕŋ	꜁ㄘㄩㄨㆭ	(牆容切就也順也言順曰從亦作从)
vol01_p05a_entry08	○¶	洪	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(胡公切大也亦姓共工氏之後本姓共後改為洪方言石阻河流為洪)
vol01_p05a_entry09		洚	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(水不遵道又陽送漾韻)¶
vol01_p05a_entry10		紅	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(淺赤色又姓古洪切女工也盖本音工今假借為靑紅字)
vol01_p05a_entry11		葒	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(水草馬蓼也一曰蘢古草)
vol01_p05a_entry12		䜫	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(大壑)¶
vol01_p05a_entry13		谼	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(大壑莊孔子觀呂梁縣水三十仞流沫四十里今謂吕梁谼陳詩快瀉雙石谼在此)
vol01_p05a_entry14		鴻	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(大曰鴻小曰鴈又大)¶↡¶(也又董韻)
vol01_p05b_entry01		虹	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(螮蝀漢志作𧈫詩實虹小子與訌同又陽漾送韻)
vol01_p05b_entry02		訌	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(䜋也亂也詩蟊賊内訌又陽韻)
vol01_p05b_entry03		渱	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	¶(潰渱水沸湧也)
vol01_p05b_entry04		鉷	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(弩牙又唐有王鉷)
vol01_p05b_entry05		䃔	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(石隕聲)
vol01_p05b_entry06		𩘎	13	ᅘᅮᇰ	ɦȕŋ	꜁ㄏㄨㆭ	(大風)
vol01_p05b_entry07	○	烘	14	후ᇰ	huŋ	ㄏㄨㆭ	(呼洪切烘燎火乾也又送)¶(韻)
vol01_p05b_entry08	○	空	15	쿠ᇰ	khuŋ	ㄎㄨㆭ	(苦紅切虚也又董送二韻)
vol01_p05b_entry09		悾	15	쿠ᇰ	khuŋ	ㄎㄨㆭ	(信也包咸曰慤也又陽送二韻)
vol01_p05b_entry10		𢃐	15	쿠ᇰ	khuŋ	ㄎㄨㆭ	(衣裌)
vol01_p05b_entry11		椌	15	쿠ᇰ	khuŋ	ㄎㄨㆭ	(器物)¶(朴又陽韻)
